review_url,coffee_name,total_score,roaster_location,coffee_origin,roast_level,agtron,est._price
https://www.coffeereview.com/review/deri-kochoha-ethiopian-sidamo/,Deri Kochoha Ethiopian Sidamo,94,"Madison, Wisconsin","Sidamo (also Sidama) growing region, southern Ethiopia.",Medium-Light,57/72,$14.99/12 ounces
https://www.coffeereview.com/review/kemgin-ethiopia/,Kemgin Ethiopia,94,"Anchorage, Alaska","Nekempte District, Oromia Region, western Ethiopia.",Medium,51/62,$19.50/16 ounces
https://www.coffeereview.com/review/lintong-sumatra-dolok-sangul/,Lintong Sumatra Dolok Sangul,94,"Seattle, Washington","Lintong growing region, northern Sumatra, Indonesia.",Medium-Light,54/77,$16.50/12 ounces
https://www.coffeereview.com/review/tano-batak-sumatra/,Tano Batak Sumatra,94,"Madison, Wisconsin","Lintong growing region, northern Sumatra, Indonesia.",Medium-Light,54/73,$13.99/12 ounces
https://www.coffeereview.com/review/momma-bear-espresso/,Momma Bear Espresso,94,"Peoria, Illinois","Huehuetenango growing region, Guatemala; Sidamo growing region, Ethiopia.",Medium-Light,56/76,$17.00/12 ounces
https://www.coffeereview.com/review/ethiopia-yirgacheffe-kochere-g1/,Ethiopia Yirgacheffe Kochere G1,94,"Seattle, Washington","Yirgacheffe growing region, southern Ethiopia.",Medium-Light,58/75,$11.00/8 ounces
https://www.coffeereview.com/review/maragogype-honey-process/,Maragogype Honey Process,94,"Pahala, Hawaii",Big Island of Hawaii,Medium-Light,51/75,$20.00/3.5 ounces
https://www.coffeereview.com/review/ulos-batak-sumatra-peaberry/,Ulos Batak Sumatra Peaberry,95,"Madison, Wisconsin","Northern Sumatra, Indonesia",Medium,52/68,$14.99/12 ounces
https://www.coffeereview.com/review/ninety-plus-kemgin-w2-ethiopia/,Ninety Plus Kemgin W2 Ethiopia,94,"New Taipei City, Taiwan",Southern Ethiopia.,Medium,49/65,NT $1300/16 ounces
https://www.coffeereview.com/review/ethiopia-dry-process-saris-abaya-2/,Ethiopia Dry Process Saris Abaya,94,"I-Lan City, Taiwan","Guji Zone, Sidama Province, southern Ethiopia.",Medium-Light,59/72,NT $450/8 ounces
